station season predictor correlation corr_lag corr_abs MI MI_lag
CONDES Verano CH4 nan nan -inf nan nan
CONDES Verano CO 0.2334724577058375 15 0.2334724577058375 0.24322586682847502 21
CONDES Verano PM10 0.36348010513009277 17 0.36348010513009277 0.08508351721267297 17
CONDES Verano PM25 0.357010209975125 7 0.357010209975125 0.12129590636837202 0
CONDES Verano NO2 0.23831039335464066 14 0.23831039335464066 0.08124682387981955 11
CONDES Verano NO -0.30149069195728406 4 0.30149069195728406 0.18202207748182161 0
CONDES Verano NOX 0.22469102190040008 515 0.22469102190040008 0.07617107721353822 358
CONDES Verano SO2 0.19089694960418196 0 0.19089694960418196 0.0772593097843064 1
CONDES Verano WD -0.3074923320644435 8 0.3074923320644435 0.07744306717849962 8
CONDES Verano RH -0.47008817882004383 1 0.47008817882004383 0.16415146455395985 0
CONDES Verano TEMP 0.7290470503824686 0 0.7290470503824686 0.4345373966417932 0
CONDES Verano WS 0.11809446307549062 8 0.11809446307549062 0.07135553142474023 0
CONDES Verano HCNM -0.4447343588209311 318 0.4447343588209311 0.22691491756160617 635
CONDES Verano UVA 0.18733375683418158 0 0.18733375683418158 0.11518753944497058 1
CONDES Verano UVB 0.3780169416322751 1 0.3780169416322751 0.15992458842603838 0
CONDES Verano O3 1.0 0 1.0 5.419598416120314 0
CONDES Verano WD-sin 0.350226796752011 8 0.350226796752011 0.08945889124653568 11
CONDES Verano WD-cos 0.2453195453350179 15 0.2453195453350179 0.06775457044910368 8
