station season predictor correlation corr_lag corr_abs MI MI_lag
INDEP Verano CO 0.31158196098625435 7 0.31158196098625435 0.2492194793801529 12
INDEP Verano PM10 0.3877315896980403 8 0.3877315896980403 0.11471616665706082 11
INDEP Verano PM25 0.2915799169108905 7 0.2915799169108905 0.10239601631460675 8
INDEP Verano NO2 0.4809458858410878 10 0.4809458858410878 0.13732642843449291 9
INDEP Verano NO -0.34574313173512095 1 0.34574313173512095 0.11913438089494957 1
INDEP Verano NOX 0.363168990185055 9 0.363168990185055 0.11433456976278374 12
INDEP Verano SO2 0.3257508719822018 0 0.3257508719822018 0.24238674271730157 0
INDEP Verano WD 0.2518671758004119 0 0.2518671758004119 0.11173638102239276 7
INDEP Verano RH -0.49871193292986743 0 0.49871193292986743 0.16699921064029183 1
INDEP Verano TEMP 0.6087654495898834 0 0.6087654495898834 0.2913867029844409 0
INDEP Verano WS -0.2709634110094188 14 0.2709634110094188 0.06557301058619984 500
INDEP Verano HCNM nan 0 -inf nan 0
INDEP Verano UVA 0.1929158980231871 672 0.1929158980231871 0.14932726303070165 526
INDEP Verano UVB 0.2487641489309163 2 0.2487641489309163 0.12031675758036312 0
INDEP Verano O3 1.0 0 1.0 5.172232173383369 0
INDEP Verano WD-sin 0.3225117679352706 7 0.3225117679352706 0.07441560481216011 8
INDEP Verano WD-cos 0.31276898341673587 12 0.31276898341673587 0.07621413277668329 351
